港澳頻道,#genre#
愛爾達影劇,http://50.7.234.10:8278/eltadrama_twn/playlist.m3u8?tid=MFDF4206608342066083&ct=19225&tsum=c6e03c86e60731f01aef66e1b32dcc84
電影世界,http://v2.catcast.tv/content/40546/index.m3u8
愛爾達體育1,http://50.7.234.10:8278/eltasport_twn/playlist.m3u8?tid=MF1F8884668388846683&ct=19249&tsum=b676f636b8ef285596dc6512fc4659d4
愛爾達體育2,http://50.7.234.10:8278/eltasport2_twn/playlist.m3u8?tid=MCDC5093685750936857&ct=19225&tsum=592e009b281ea2abc43b21768cb1bec0
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
鳳凰資訊2,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzx
星空衛視,http://wouu.net:9977/udp/239.93.0.156:2193
Now爆谷,http://205.185.123.236:8899/1/baogutai/baogu.m3u8
新視覺HD,http://120.76.248.139/live/bfgd/4200000249.m3u8
鳳凰電影,http://home.js001.com:7777/stream/channelid/884059847?profile=pass
RTHK-33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
環球電視,http://zb.xzxwhcb.com:9999/hls/world.m3u8
NHK新聞英,http://61.221.215.25:8800/hls/51/index.m3u8



央視itv,#genre#
CCTV-01高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV1
CCTV-02高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV2
CCTV-03高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV3
CCTV-04高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV4
CCTV-05高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV5
CCTV-5+高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV5p
CCTV-06高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV6
CCTV-07高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV7
CCTV-08高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV8
CCTV-09高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV9
CCTV-10高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV10
CCTV-11高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV11
CCTV-12高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV12
CCTV-13高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV13
CCTV-14高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV14
CCTV-15高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV15
CCTV-16高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV16
CCTV-17高碼,http://itv.iptv1688.top:2016/itv.php?id=CCTV17
CCTV-4k高碼,http://nhljz.net:35455/gaoma/cctv4k.m3u8
CCTV-8k高碼,http://nhljz.net:35455/gaoma/cctv8k_36m.m3u8


央衛tsfile,#genre#
CCTV-1,http://1.195.131.251:9909/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://1.195.131.251:9909/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://1.195.131.251:9909/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://1.195.131.251:9909/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://1.195.131.251:9909/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://1.195.131.251:9909/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://1.195.131.251:9909/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
